LOCATION,Country,TYPE_VAR,Type of indicator,VARIABLE,Indicator,WB,Current/Future Well-being,SEX,Sex,AGE,Age,EDUCATION,Education,TIME,Time,Value,Flag Codes,Flags
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,70.10094452,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,62.73692703,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,44.26161194,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,38.11790848,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,38.48627472,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,43.43919754,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,50.66431808,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,37.61367035,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,50.84829712,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,50.31728745,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,35.9493103,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,28.54173088,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,27.09693909,,
EST,Estonia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,28.84237671,,
EST,Estonia,AVERAGE,Average,5_4,Self-reported depression,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,6.9,,
EST,Estonia,AVERAGE,Average,5_4,Self-reported depression,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,8.2,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,8,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,9.1,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,7.3,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,7,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,6.6,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,6,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,4.6,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,4.8,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,4.9,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,3.9,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,3.1,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,3.1,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,2.4,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,2.2,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,2.1,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,1.9,,
EST,Estonia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,3.2,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,69.9021259,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,70.88402569,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,74.92000488,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,76.96804953,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,77.27529418,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,69.50994972,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,67.2166832,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,69.46206822,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,70.86193037,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,72.50100025,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,72.92686123,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,74.38393064,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,75.13325303,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,76.43546966,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,78.22560593,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,79.00906784,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,78.64219534,,
LVA,Latvia,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2021,2021,77.07459968,B,Break
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,70.9,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,70.6,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,70.6,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,70.8,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,72.1,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,72.8,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,73.1,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,73.9,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,74.1,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,74.3,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,74.5,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,74.8,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,74.9,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,74.9,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,75.1,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,75.7,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,75.5,,
LVA,Latvia,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2021,2021,73.4,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,42.08533478,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,43.45988083,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,45.23054886,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,41.97890472,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,53.09781647,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,50.63071442,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,47.7513504,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,45.76049805,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,47.33123016,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,43.84442902,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,44.0573349,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,45.16368484,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,42.168293,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,39.56027222,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,41.10483551,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,36.9560318,,
LVA,Latvia,AVERAGE,Average,5_3,"Deaths from suicide, alcohol, drugs",CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,35.16119003,,
LVA,Latvia,AVERAGE,Average,5_4,Self-reported depression,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,4.7,,
LVA,Latvia,AVERAGE,Average,5_4,Self-reported depression,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,5.7,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,9.7,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,10.3,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,9.8,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,8.6,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,7.8,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,6.5,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,6.4,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,6.1,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,6.2,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,5.8,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,6.7,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,4.9,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,4.4,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,3.6,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,3.8,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,3.2,,
LVA,Latvia,AVERAGE,Average,10_1,Homicides,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,3.3,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,73.24313598,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,74.60442304,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,74.77570841,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,76.31299321,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,75.29010339,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2009,2009,70.89699931,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2010,2010,68.36799542,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2011,2011,71.12571574,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2012,2012,72.48108268,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2013,2013,73.55575719,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2014,2014,74.993379,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2015,2015,76.40486368,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2016,2016,78.16274887,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2017,2017,78.84456116,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2018,2018,80.36665217,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2019,2019,80.56407844,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2020,2020,79.356336,,
LTU,Lithuania,AVERAGE,Average,2_1,Employment rate,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2021,2021,79.87044728,B,Break
LTU,Lithuania,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2004,2004,72,,
LTU,Lithuania,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2005,2005,71.2,,
LTU,Lithuania,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2006,2006,71,,
LTU,Lithuania,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2007,2007,70.7,,
LTU,Lithuania,AVERAGE,Average,5_1,Life expectancy at birth,CWB,Current Well-being,TOT,Total population,TOT,Total population,TOT,Total population,2008,2008,71.7,,
