"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,3.43,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,3.39,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,3.26,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,3.24,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,3.32,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,3.49,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,4.36,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,4.94,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,4.97,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,5.11,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,6.91,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,6.83,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,7.56,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,4897.33,,
"LTU","Lithuania","PPP","In 2021 constant prices at 2021 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,5358.34,,
